Marca,Modello,Anno,Tipo,KIT-W-Kit,FLUSHBAR Argento ,"FLUSHBAR MIX Argento 
W-Flush",THRUBAR Argento W-Through,RAILBAR Argento W-RailBar,RAILBAR MIX Argento W-RailBarMix,FLUSHBAR Nere WB-Flush,FLUSHBAR MIX Nere WB-FlushMix,THRUBAR Nere WB-Through,RAILBAR Nere WB-RailBar,RAILBAR MIX nere WB-RailBarMix ,Descrizione tetto
Bmw,X5 (E70) (no tettuccio) - railing,03/07>09/13,Barre lungitudinali,,,,,Y8050205,,,,,Y8050242,,railing standard
Bmw,X5 (F15) - profilo,10/13>07/18,Profili integrati,YK670W,,Y8050197,Y8050189,,,,Y8050236,Y8050229,,,profilo integrato
Bmw,X5 (G05) - profilo,08/18>,Profili integrati,YK670W,,Y8050197,Y8050189,,,,Y8050236,Y8050229,,,profilo integrato
Bmw,X6 - profilo,09/19>,Profili integrati,YK796W,Y8050182,,Y8050189,,,Y8050222,,Y8050229,,,profilo integrato
Chevrolet,Aveo 4p,05/11>09/15,Tetto nudo,YK688W,,Y8050194,Y8050187,,,,Y8050233,Y8050227,,,tetto standard
Chevrolet,Aveo 5p,06/08>04/11,Tetto nudo,YK482W,Y8050179,,Y8050187,,,Y8050219,,Y8050227,,,tetto standard
Chevrolet,Captiva,07/06>01/11,Tetto nudo,YK301W,,Y8050194,Y8050188,,,,Y8050233,Y8050228,,,tetto standard
Chevrolet,Captiva - railing,07/06>09/15,Barre lungitudinali,YK328W,,Y8050195,Y8050188,Y8050203,,,Y8050234,Y8050228,Y8050240,,railing standard
Chevrolet,Cruze 5p,09/11>11/15,Tetto nudo,YK910W,,Y8050195,,,,,Y8050234,,,,tetto standard
Chevrolet,Cruze sw - railing,09/12>09/15,Barre lungitudinali,YK328W,Y8050180,,Y8050187,,Y8050209,Y8050220,,Y8050227,,Y8050246,railing standard
Chevrolet,Lacetti 5p,04/04>12/09,Tetto nudo,YK526W,Y8050179,,Y8050187,,,Y8050219,,Y8050227,,,tetto standard
Chevrolet,Orlando - fixpoint,01/11>09/15,Punti fissi,YK730W,Y8050182,,Y8050189,,,Y8050222,,Y8050229,,,tetto fixpoint
Chevrolet,Spark - railing,02/10>09/15,Barre lungitudinali,YK328W,,Y8050193,Y8050187,,Y8050208,,Y8050232,Y8050227,,Y8050245,railing standard
Chevrolet,Trax - railing,03/13>09/15,Barre lungitudinali,,,,,Y8050202,,,,,Y8050239,,railing standard
Chrysler,300C 4p,05/05>12/10,Tetto nudo,YK392W,Y8050183,,Y8050189,,,Y8050223,,Y8050229,,,tetto standard
Chrysler,Grand Voyager - railing,04/08>10/11,Barre lungitudinali,YK328W,Y8050183,,Y8050189,,,Y8050223,,Y8050229,,,railing standard
Chrysler,Pt Cruiser 5p,06/00>12/10,Tetto nudo,YK158W,Y8050180,,Y8050188,,,Y8050220,,Y8050228,,,tetto standard
Citroen,Berlingo (van) (Passo Lungo)  - fixpoint,04/08>05/18,Punti fissi,YK559W,,Y8050197,Y8050189,,,,Y8050236,Y8050229,,,tetto fixpoint
Citroen,Berlingo (van) - railing,04/08>05/18,Barre lungitudinali,YK328W,Y8050184,,Y8050190,,Y8050212,Y8050224,,Y8050230,,Y8050249,railing standard
Citroen,Berlingo Multispace 5p - railing,04/08>08/18,Barre lungitudinali,YK328W,Y8050184,,Y8050190,,Y8050212,Y8050224,,Y8050230,,Y8050249,railing standard
Citroen,C3,05/02>10/09,Tetto nudo,YK382W,Y8050179,,Y8050187,,,Y8050219,,Y8050227,,,tetto standard
Citroen,C3 Aircross - railing,10/17>,Barre lungitudinali,YK328W,Y8050181,,Y8050188,Y8050203,,Y8050221,,Y8050228,Y8050240,,railing standard
Citroen,C3 Classic,11/09>12/10,Tetto nudo,YK382W,Y8050179,,Y8050187,,,Y8050219,,Y8050227,,,tetto standard
Citroen,C3 Picasso - railing,01/09>10/12,Barre lungitudinali,YK328W,,Y8050195,Y8050188,,Y8050210,,Y8050234,Y8050228,,Y8050247,railing standard
Citroen,C3 Picasso - railing,11/12>09/16,Barre lungitudinali,YK328W,Y8050180,,Y8050187,Y8050203,,Y8050220,,Y8050227,Y8050240,,railing standard
Citroen,C3 XTR - railing,03/04>12/08,Barre lungitudinali,YK328W,,,Y8050188,,,,,Y8050228,,,railing standard
Citroen,C4 3p - fixpoint,01/05>10/10,Punti fissi,YK412W,Y8050179,,Y8050187,,,Y8050219,,Y8050227,,,tetto fixpoint
Citroen,C4 5p - fixpoint,01/05>10/10,Punti fissi,YK412W,Y8050179,,Y8050187,,,Y8050219,,Y8050227,,,tetto fixpoint
Citroen,C4 5p,11/10>02/18,Tetto nudo,YK726W,Y8050179,,Y8050188,,,Y8050219,,Y8050228,,,tetto standard
Citroen,C4 Aircross - fixpoint,04/12>12/17,Punti fissi,YK602W,,Y8050195,Y8050188,,,,Y8050234,Y8050228,,,tetto fixpoint
Citroen,C4 Aircross - profilo,04/12>12/17,Profili integrati,YK508W,,Y8050195,Y8050188,,,,Y8050234,Y8050228,,,profilo integrato
Citroen,C4 Cactus - railing,05/14>,Barre lungitudinali,,,,,Y8050202,,,,,Y8050239,,railing standard
Citroen,C4 Grand Picasso - railing,10/06>09/13,Barre lungitudinali,YK328W,,,Y8050189,,Y8050211,,,Y8050229,,Y8050248,railing standard
Citroen,C4 Grand Picasso - profilo,10/13>05/18,Profili integrati,YK774W,Y8050183,,Y8050189,,,Y8050223,,Y8050229,,,profilo integrato
Citroen,C4 Picasso - fixpoint,03/07>05/13,Punti fissi,YK412W,,Y8050196,Y8050188,,,,Y8050235,Y8050228,,,tetto fixpoint
Citroen,C4 Picasso - railing,03/07>05/13,Barre lungitudinali,YK328W,,Y8050197,Y8050189,,,,Y8050236,Y8050229,,,railing standard
Citroen,C4 Picasso,06/13>05/18,Tetto nudo,YK717W,,Y8050197,Y8050189,,,,Y8050236,Y8050229,,,tetto standard
Citroen,C4 Spacetourer,06/18>,Tetto nudo,YK717W,,Y8050197,Y8050189,,,,Y8050236,Y8050229,,,tetto standard
Citroen,C5 4p - fixpoint,03/01>04/08,Punti fissi,YK431W,Y8050178,,Y8050187,,,Y8050218,,Y8050227,,,tetto fixpoint
Citroen,C5 4p - fixpoint,05/08>12/17,Punti fissi,YK513W,Y8050180,,Y8050188,,,Y8050220,,Y8050228,,,tetto fixpoint
Citroen,C5 Aircross - railing,12/18>,Barre lungitudinali,YK328W,Y8050181,,Y8050188,Y8050203,,Y8050221,,Y8050228,Y8050240,,railing standard
Citroen,C5 sw - railing,03/01>04/08,Barre lungitudinali,YK328W,,,Y8050187,,Y8050208,,,Y8050227,,Y8050245,railing standard
Citroen,C5 Tourer - railing,05/08>12/17,Barre lungitudinali,YK328W,,Y8050195,Y8050188,,,,Y8050234,Y8050228,,,railing standard
Citroen,DS4,03/11>12/18,Tetto nudo,YK756W,,Y8050195,Y8050187,,,,Y8050234,Y8050227,,,tetto standard
Citroen,DS5 (anche tetto vetro),12/11>12/18,Tetto nudo,YK742W,,Y8050196,Y8050188,,,,Y8050235,Y8050228,,,tetto standard
Citroen,DS7 Crossback (anche tetto vetro) - profilo,12/17>,Profili integrati,YK1080W,,Y8050195,Y8050188,,,,Y8050234,Y8050228,,,profilo integrato
Citroen,Grand C4 Spacetourer - profilo,06/18>,Profili integrati,YK774W,Y8050183,,Y8050189,,,Y8050223,,Y8050229,,,profilo integrato
Citroen,Jumpy (van) - fixpoint,01/07>03/16,Punti fissi,YK462W,Y8050185,,Y8050190,,,Y8050225,,Y8050230,,,tetto fixpoint
Citroen,Nemo 5p - fixpoint,12/08>03/14,Punti fissi,YK947W,,Y8050198,Y8050189,,,,Y8050237,Y8050229,,,tetto fixpoint
Citroen,Nemo 5p - railing,12/08>03/14,Barre lungitudinali,YK328W,,Y8050198,Y8050189,Y8050206,,,Y8050237,Y8050229,Y8050243,,railing standard
Citroen,Nemo Van - fixpoint,12/08>03/14,Punti fissi,YK947W,,Y8050198,Y8050189,,,,Y8050237,Y8050229,,,tetto fixpoint
Citroen,Nemo Van - railing,12/08>03/14,Barre lungitudinali,YK328W,,Y8050198,Y8050189,Y8050206,,,Y8050237,Y8050229,Y8050243,,railing standard
Citroen,Xsara Picasso - fixpoint,02/00>09/10,Punti fissi,YK369W,Y8050178,,Y8050187,,,Y8050218,,Y8050227,,,tetto fixpoint
Dacia,Dokker - railing,11/12>,Barre lungitudinali,YK328W,Y8050180,,Y8050188,Y8050202,,Y8050220,,Y8050228,Y8050239,,railing standard
Dacia,Dokker Stepway - railing,11/12>,Barre lungitudinali,YK328W,Y8050180,,Y8050188,Y8050202,,Y8050220,,Y8050228,Y8050239,,railing standard
Dacia,Dokker Van - railing,11/12>,Barre lungitudinali,YK328W,Y8050180,,Y8050188,Y8050202,,Y8050220,,Y8050228,Y8050239,,railing standard
Dacia,Duster - railing,05/10>05/12,Barre lungitudinali,,,,,Y8050203,,,,,Y8050240,,railing standard
Dacia,Lodgy - profilo,05/12>,Profili integrati,YK809W,,Y8050196,Y8050189,,,,Y8050235,Y8050229,,,profilo integrato
Dacia,Logan MCV 5p - railing,02/07>06/13,Barre lungitudinali,YK328W,Y8050178,,Y8050187,Y8050201,,Y8050218,,Y8050227,Y8050238,,railing standard
Dacia,Logan MCV 5p - railing,10/13>,Barre lungitudinali,YK328W,Y8050180,,Y8050188,,Y8050209,Y8050220,,Y8050228,,Y8050246,railing standard
Dacia,Sandero Stepway - railing,07/09>12/12,Barre lungitudinali,,,,,Y8050202,,,,,Y8050239,,railing standard
Dacia,Sandero Stepway - railing,01/13>,Barre lungitudinali,YK328W,,Y8050194,Y8050188,Y8050202,,,Y8050233,Y8050228,Y8050239,,railing standard
Daihatsu,Materia,01/07>12/11,Tetto nudo,YK405W,Y8050181,,Y8050188,,,Y8050221,,Y8050228,,,tetto standard
Daihatsu,Sirion,01/05>09/11,Tetto nudo,YK406W,Y8050180,,Y8050187,,,Y8050220,,Y8050227,,,tetto standard
Daihatsu,Terios,04/06>09/13,Tetto nudo,YK403W,Y8050180,,Y8050188,,,Y8050220,,Y8050228,,,tetto standard
Daihatsu,Terios - railing,04/06>09/13,Barre lungitudinali,YK328W,,,Y8050188,,Y8050210,,,Y8050228,,Y8050247,railing standard
Dodge,Avenger,02/08>12/11,Tetto nudo,YK478W,Y8050182,,Y8050189,,,Y8050222,,Y8050229,,,tetto standard
Dodge,Caliber,06/06>12/11,Tetto nudo,YK384W,Y8050180,,Y8050188,,,Y8050220,,Y8050228,,,tetto standard
Dodge,Journey,05/08>12/10,Tetto nudo,YK982W,,Y8050197,Y8050189,,,,Y8050236,Y8050229,,,tetto standard
Dodge,Journey - railing,05/08>12/10,Barre lungitudinali,YK328W,,Y8050196,Y8050189,Y8050205,,,Y8050235,Y8050229,Y8050242,,railing standard
Fiat,500X - profilo,02/15>,Profili integrati,YK913W,,Y8050195,Y8050188,,,,Y8050234,Y8050228,,,profilo integrato
Fiat,Doblò 5p - fixpoint,11/00>12/09,Punti fissi,YK337W,Y8050182,,Y8050189,,,Y8050222,,Y8050229,,,tetto fixpoint
Fiat,Doblò 5p - fixpoint,01/10>05/20,Punti fissi,YK500W,Y8050183,,Y8050189,,,Y8050223,,Y8050229,,,tetto fixpoint
Fiat,Doblò 5p - railing,01/10>05/20,Barre lungitudinali,,,,,Y8050206,,,,,Y8050243,,railing standard
Fiat,Doblò Cargo - fixpoint,11/00>12/09,Punti fissi,YK337W,Y8050182,,Y8050189,,,Y8050222,,Y8050229,,,tetto fixpoint
Fiat,Doblò Cargo - fixpoint,01/10>,Punti fissi,YK500W,Y8050183,,Y8050189,,,Y8050223,,Y8050229,,,tetto fixpoint
Fiat,Doblò Cargo - railing,01/10>,Barre lungitudinali,,,,,Y8050206,,,,,Y8050243,,railing standard
Fiat,Fiorino (van) - fixpoint,09/08>,Punti fissi,YK947W,,Y8050198,Y8050189,,,,Y8050237,Y8050229,,,tetto fixpoint
Fiat,Fiorino (van) - railing,09/08>,Barre lungitudinali,YK328W,,Y8050198,Y8050189,,,,Y8050237,Y8050229,,,railing standard
Fiat,Freemont,05/11>11/16,Tetto nudo,YK982W,,Y8050197,Y8050189,,,,Y8050236,Y8050229,,,tetto standard
Fiat,Freemont - railing,05/11>11/16,Barre lungitudinali,YK328W,,Y8050196,Y8050189,Y8050204,,,Y8050235,Y8050229,Y8050241,,railing standard
Fiat,Grande Punto 5p,09/05>04/12,Tetto nudo,YK926W,,Y8050193,Y8050187,,,,Y8050232,Y8050227,,,tetto standard
Fiat,Panda - fixpoint,09/03>01/12,Punti fissi,YK618W,Y8050181,,Y8050188,,,Y8050221,,Y8050228,,,tetto fixpoint
Fiat,Panda - railing,09/03>01/12,Barre lungitudinali,YK328W,Y8050182,,Y8050188,,Y8050211,Y8050222,,Y8050228,,Y8050248,railing standard
Fiat,Panda - fixpoint,02/12>,Punti fissi,YK618W,,Y8050194,Y8050188,,,,Y8050233,Y8050228,,,tetto fixpoint
Fiat,Panda - profilo,02/12>,Profili integrati,YK837W,,Y8050195,Y8050188,,,,Y8050234,Y8050228,,,profilo integrato
Fiat,Panda 4x4 - fixpoint,09/04>12/13,Punti fissi,YK618W,Y8050181,,Y8050188,,,Y8050221,,Y8050228,,,tetto fixpoint
Fiat,Panda 4x4 - railing,09/04>12/13,Barre lungitudinali,YK328W,Y8050182,,Y8050188,,Y8050211,Y8050222,,Y8050228,,Y8050248,railing standard
Fiat,Panda 4x4 - fixpoint,11/12>,Punti fissi,YK618W,,Y8050194,Y8050188,,,,Y8050233,Y8050228,,,tetto fixpoint
Fiat,Panda 4x4 - profilo,11/12>,Profili integrati,YK837W,,Y8050195,Y8050188,,,,Y8050234,Y8050228,,,profilo integrato
Fiat,Panda City Cross - fixpoint,10/14>,Punti fissi,YK618W,,Y8050194,Y8050188,,,,Y8050233,Y8050228,,,tetto fixpoint
Fiat,Panda Classic - fixpoint,02/12>12/12,Punti fissi,YK618W,Y8050181,,Y8050188,,,Y8050221,,Y8050228,,,tetto fixpoint
Fiat,Panda Classic - railing,02/12>12/12,Barre lungitudinali,YK328W,Y8050182,,Y8050188,,Y8050211,Y8050222,,Y8050228,,Y8050248,railing standard
Fiat,Panda Van - fixpoint,09/03>12/12,Punti fissi,YK618W,Y8050181,,Y8050188,,,Y8050221,,Y8050228,,,tetto fixpoint
Fiat,Panda Van - railing,09/03>12/12,Barre lungitudinali,YK328W,Y8050182,,Y8050188,,Y8050211,Y8050222,,Y8050228,,Y8050248,railing standard
Fiat,Panda Van - fixpoint,01/13>,Punti fissi,YK618W,,Y8050194,Y8050188,,,,Y8050233,Y8050228,,,tetto fixpoint
Fiat,Panda Van - profilo,01/13>,Profili integrati,YK837W,,Y8050195,Y8050188,,,,Y8050234,Y8050228,,,profilo integrato
Fiat,Punto 5p - fixpoint,09/99>04/03,Punti fissi,YK417W,Y8050179,,Y8050187,,,Y8050219,,Y8050227,,,tetto fixpoint
Fiat,Punto 5p,01/12>04/19,Tetto nudo,YK926W,,Y8050193,Y8050187,,,,Y8050232,Y8050227,,,tetto standard
Fiat,Punto Evo 5p,10/09>04/12,Tetto nudo,YK926W,,Y8050193,Y8050187,,,,Y8050232,Y8050227,,,tetto standard
